reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
a1ff149f-1517-4487-ba71-c027039f8bb5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Versi lama lebih bagus dan lebih saya rindukan, tidak pernah crash seperti versi sekarang ini yang kelihatannya tidak kompatibel dengan perangkat vivo saya. Koq bisa2nya bos telkomsel ini pekerjakan ahli IT yang kerjanya hasilin aplikasi model sampah ginian ini.",1,860,8.6.2,2025-01-13 13:51:37,,,8.6.2
c9c912e1-abc7-44cf-aeb4-e4eb7d0f3ed7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Makin hari makin lemot aja. Aplikasi. . Bukan Karana sinyal. Respon aplikasi buruk . Tidak bisa tampil opsi /keterangan untuk rincian kuota yg sudah terpakai. . .perbaharuin dong aplikasi.nya. Cuma mau liat kuota aja. Bisa 5-8menit. Itu pun kadang"" gak ke buka. Hadeh. Payah. .. bgus versi sebelum nya. Lancar jaya. .",1,175,8.6.2,2025-01-17 08:17:10,,,8.6.2
aea3d280-dd1f-48b1-a27d-7dd6b3360ef7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Mantap banget, bulan lalu gak bisa dibuka aplikasinya, pas masuk ke aplikasi pasti keluar sendiri gitu terus, abis itu hapus terus download ulang pas login gak bisa karna smsnya gak kekirim sama sekali padahal udah isi pulsa. Tolong yah bugnya diperbaiki, aplikasinya sangat membantu tiba tiba kaya gini, yang make pun akhirnya kesusahan",4,136,8.6.2,2025-01-14 20:04:59,,,8.6.2
398aed5a-046e-4a3b-bc91-22912b1c34df,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Tolonglah telkomsel, versi² sebelumnya ga ada bug sama sekali... Ini sekalinya update langsung banyak bug. G abisa di buka sama sekali di beberapa jenis hp. Lu itu Telkomsel loh, perusahaan komunikasi terbesar, masa bikin aplikasi seperti biasa aja ga bisa. Malu²in njir",1,151,8.6.2,2025-01-14 08:43:41,"Hai Kak. Mohon maaf untuk ketidaknyamanannya ya, silakan coba cara berikut ya Kak:
1. Clear cache aplikasi
2. Force close aplikasi
lalu coba login kembali, apabila aplikasi MyTelkomsel masih mengalami kendala gak bisa dibuka, silakan hubungi kami melalui DM Instagram @Telkomsel atau hubungi kami di tsel.id/chatva. Semoga membantu. :) -Ken",2025-01-14 14:33:59,8.6.2
449659b4-944b-4d6a-bef7-0ba505d77448,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Makin lama makin muak sama aplikasi ini update terus......kalian buat aplikasi untuk provider apa buat game yang perlu update 1 minggu sekali. Sudah banyak iklan, lambat, mutar loadingnya lama, mau bayar tagihan halo aja lama kali. Gak friendly kali... Tolong la dibuat lebih gampang. Jangan sulit. Lama pindah juga aku dari provider ini. Update gak karuan... Belum lagi pop upnya... Kalau memang mau buat aplikasi mobile yang jelas2 aja.. Gak usah paksain maksimal jika belum bisa maksimal",1,139,8.6.2,2025-01-14 13:47:42,,,8.6.2
cd40f96b-9b34-4de1-b7da-22f7778c6907,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Wah,aplikasi yang versi sekarang kocak banget. Aplikasinya sering nge-blank padahal jaringan bagus, udh gitu, suara pas buka aplikasinya gaada lagi. Pas cek kuota, jumlah kuota tidak sinkron dengan jumlah kuota yang dicek secara manual melalui kode Dial. Selain itu,tiap mau login buat klaim stamp harian, harus hapus data dulu baru...stamp-nya baru bisa bertambah",1,22,8.6.2,2025-01-17 06:17:47,,,8.6.2
b568de3f-4091-4388-8b79-1b2b81518fff,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Kualitas aplikasi ini makin hari makin jelek++ saja. Aplikasi bukan loading berat lg, tp nge freeze. Masak kudu clear data tiap2 kali buka aplikasi ini. Klo clear data bisa normal lg, tp sebentar ngefreeze lg. Gak beres nih aplikasi.",1,69,8.6.2,2025-01-16 22:42:23,"Mohon maaf ya, Kak Oscar. Untuk keluhan sinyal tidak stabil agar dapat mimin bantu lebih lanjut, silakan konfirmasi ke twitter @telkomsel atau Facebook Telkomsel. Makasih :) –Lina",2021-02-10 06:31:05,8.6.2
11c9438c-9813-49ea-8373-cb6b4d0db252,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Saya sudah berlangganan paket combo merdeka dari th 2018,selama tak ada kendala jaringan yg serius, tapi dalam 1 bulan ini saya sangat kecewa, jaringan hampir gak bisa,sering hilang sendiri,kekuatan nya rata2 2/3KB/d , sangat mengecewakan...bahkan untuk balas WA saja hampir tak bisa, fb lebih parah, youtube jangan di tanya... Pokoknya kecewa",2,67,8.6.2,2025-01-10 10:43:27,,,8.6.2
268709b7-c365-4503-8db5-478bcaec989a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"updatenya terus tapi sinyal tambah lemot, sebelumnya pake masih aman' aja di buat sosmed dan game juga tidak lag, tapi semenjak desember sinyal makin lemot, udah di mode pesawat juga masih aja lemot. tolong sinyalnya di perbaiki lagi biar pelanggan puas dengan jaringannya.",1,56,8.6.2,2025-01-15 19:35:22,,,8.6.2
2fad1a32-0101-4390-8712-2fa0c0ae482b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Penasaran siapa IT yang kelola aplikasi ini , aplikasi berat banget ,bahkan untuk masuk ke beranda aja juga lemot banget semua fitur ketika di pencet berat banget ,kukira setelah sering kali update bakal lebih mending. Ternyata sama aja",1,12,8.6.2,2025-01-17 20:58:56,"Hai, Kak. Mohon maaf untuk ketidaknyamanannya ya, apabila aplikasi MyTelkomsel terlalu berat di handphone Kakak, silakan coba unduh MyTelkomsel Basic. Aplikasi ini sudah tersedia di PlayStore. Apabila masih mengalami kendala, silakan hubungi kami melalui DM Instagram @Telkomsel atau chat di tsel.id/chatva. Semoga membantu. :) -Ken",2025-01-18 18:23:59,8.6.2
